logical_resource,facet,operation,crud,method,path,api_version,preview,introduced,namespace,group,doc
Advisor Recommendation,Recommendations and actions,Get Action Schema,Read,GET,/analytics/advisorRecommendations/{scenario}/actionmetadata/{actionName},2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/get-action-schema.md
Advisor Recommendation,Recommendations and actions,Get Recommendation Resources,Read,GET,/analytics/advisorRecommendations/{scenario}/resources,2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/get-recommendation-resources.md
Advisor Recommendation,Recommendations and actions,Get Recommendation Scenarios,Read,GET,/analytics/advisorRecommendations/scenarios,2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/get-recommendation-scenarios.md
Advisor Recommendation,Recommendations and actions,Get Recommendations,Read,GET,/analytics/advisorRecommendations,2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/get-recommendations.md
Advisor Recommendation,Recommendations and actions,Get Scenario Actions,Read,GET,/analytics/advisorRecommendations/{scenario}/actions,2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/get-scenario-actions.md
Advisor Recommendation,Recommendations and actions,Execute Recommendation Action,Action,POST,/analytics/actions/{actionName},2024-10-01,False,,analytics,recommendations,docs/analytics/recommendations/execute-recommendation-action.md
Application Package,Tenant and environment app install,Get Application Package Install Status,Read,GET,/appmanagement/environments/{environmentId}/operations/{operationId},2024-10-01,False,,appmanagement,applications,docs/appmanagement/applications/get-application-package-install-status.md
Application Package,Tenant and environment app install,Get Environment Application Package,Read,GET,/appmanagement/environments/{environmentId}/applicationPackages,2024-10-01,False,,appmanagement,applications,docs/appmanagement/applications/get-environment-application-package.md
Application Package,Tenant and environment app install,Get Tenant Application Package,Read,GET,/appmanagement/applicationPackages,2024-10-01,False,,appmanagement,applications,docs/appmanagement/applications/get-tenant-application-package.md
Application Package,Tenant and environment app install,Install Application Package,Create,POST,/appmanagement/environments/{environmentId}/applicationPackages/{uniqueName}/install,2024-10-01,False,,appmanagement,applications,docs/appmanagement/applications/install-application-package.md
Async Operation,Job polling,Get Environment Operation By ID,Read,GET,/environmentmanagement/environments/{targetEnvironmentId}/operations/{operationId},2024-10-01,False,,environmentmanagement,operation,docs/environmentmanagement/operation/get-environment-operation-by-id.md
